pais_detecta,pais_final,nome_pasta
Afeganistão,Afeganistão,afeganistao
África do Sul,África do Sul,africa_do_sul
ALADI,aladi,aladi
Albânia,Albânia,albania
Alemanha,Alemanha,alemanha
Andorra,Andorra,andorra
Angola,Angola,angola
ANGUILA,ANGUILA,anguila
Antígua e Barbuda,Antígua e Barbuda,antigua_e_barbuda
Arábia Saudita,Arábia Saudita,arabia_saudita
Argélia,Argélia,argelia
Argentina,Argentina,argentina
Armênia,Armênia,armenia
Aruba,Aruba,aruba
Austrália,Austrália,australia
Áustria,Áustria,austria
Azerbaijão,Azerbaijão,azerbaijao
Bahamas,Bahamas,bahamas
Bahrein,Bahrein,bahrein
Bangladesh,Bangladesh,bangladesh
Barbados,Barbados,barbados
Belarus,Belarus,belarus
Bélgica,Bélgica,belgica
Belize,Belize,belize
Benin,Benin,benin
BERMUDA,BERMUDA,bermuda
Bolívia,Bolívia,bolivia
"BONAIRE, SINT EUSTATIUS E SABA","BONAIRE, SINT EUSTATIUS E SABA",bonaire_sint_eustatius_e_saba
Bósnia e Herzegovina,Bósnia e Herzegovina,bosnia_e_herzegovina
Botsuana,Botsuana,botsuana
Brasil,Brasil,brasil
Brunei,Brunei,brunei
Bulgária,Bulgária,bulgaria
Burkina Faso,Burkina Faso,burkina_faso
Burundi,Burundi,burundi
Butão,Butão,butao
Cabo Verde,Cabo Verde,cabo_verde
Camboja,Camboja,camboja
Cameroun (Camarões),Cameroun (Camarões),cameroun_camaroes
Cameroun,Cameroun (Camarões),cameroun_camaroes
Canadá,Canadá,canada
Catar,Catar,catar
Cazaquistão,Cazaquistão,cazaquistao
CDB,CDB,cdb
CEEA,CEEA,ceea
CFC/FCPB,CFC/FCPB,cfcfcpb
Chade,Chade,chade
Chile,Chile,chile
China,China,china
Chipre,Chipre,chipre
CIPV,CIPV,cipv
Codex Alimentarius,Codex Alimentarius,codex_alimentarius
COI,COI,coi
Colômbia,Colômbia,colombia
Comores,Comores,comores
Congo,Congo,congo
Coreia do Norte,Coreia do Norte,coreia_do_norte
Coreia do Sul,Coreia do Sul,coreia_do_sul
Costa Rica,Costa Rica,costa_rica
Côte D'Ivoire (Costa do Marfim),Côte D'Ivoire (Costa do Marfim),cote_divoire_costa_do_marfim
Côte D'Ivoire,Côte D'Ivoire (Costa do Marfim),cote_divoire_costa_do_marfim
Costa do Marfim,Côte D'Ivoire (Costa do Marfim),cote_divoire_costa_do_marfim
CPLP,cplp,cplp
Croácia,Croácia,croacia
Cuba,Cuba,cuba
CURAÇAO,CURAÇAO,curacao
Dinamarca,Dinamarca,dinamarca
Djibouti (Djibuti),Djibouti (Djibuti),djibouti_djibuti
Djibouti,Djibouti (Djibuti),djibouti_djibuti
Djibuti,Djibouti (Djibuti),djibouti_djibuti
Dominica,Dominica,dominica
Egito,Egito,egito
El Salvador,El Salvador,el_salvador
Emirados Árabes,Emirados Árabes,emirados_arabes
Emirados Árabes Unidos,Emirados Árabes,emirados_arabes
EAU,Emirados Árabes,emirados_arabes
Equador,Equador,equador
Eritreia,Eritreia,eritreia
Eslováquia,Eslováquia,eslovaquia
Eslovênia,Eslovênia,eslovenia
Espanha,Espanha,espanha
Estados Unidos,Estados Unidos,estados_unidos
EUA,Estados Unidos,estados_unidos
Estônia,Estônia,estonia
Etiópia,Etiópia,etiopia
